"station_id","year","avg_maxtemp","avg_mintemp","total_precipitation"
USC00110338,2012.0,174.6584699453551913,64.3224043715846995,6592
USC00110338,2013.0,142.5109890109890110,40.0497237569060773,10929
USC00110338,2014.0,132.5576923076923077,29.7520661157024793,10394
USC00111280,1985.0,169.8000000000000000,65.1315068493150685,11402
USC00111280,1986.0,183.1972602739726027,77.6301369863013699,7975
USC00111280,1987.0,190.1205479452054795,79.4739726027397260,8128
USC00111280,1988.0,185.2076502732240437,61.6693989071038251,8356
USC00111280,1989.0,178.0825082508250825,67.0297029702970297,6261
USC00111280,1990.0,186.8109589041095890,78.4986301369863014,12837
USC00111280,1991.0,187.1589041095890411,81.6328767123287671,9002
USC00111280,1992.0,177.7513661202185792,72.3633879781420765,8887
USC00111280,1993.0,165.5315068493150685,69.4547945205479452,12885
USC00111280,1994.0,180.0465753424657534,70.8356164383561644,9911
